bird,park,count,count_datetime
Himalayan Vulture,Bukit Timah Nature Reserve,2.0,24-Dec-23
Himalayan Vulture,Dairy Farm Nature Park,2.0,8-Dec-21
Himalayan Vulture,Dairy Farm Nature Park,2.0,10-Jan-20
Himalayan Vulture,Henderson Waves,1.0,14-Jan-24
Himalayan Vulture,Marina East Drive,1.0,30-Jan-21
Himalayan Vulture,Toa Payoh,1.0,5-Jan-16
Himalayan Vulture,Ulu Pandan Park Connector,1.0,15-Jan-24
Himalayan Vulture,West Coast Park,1.0,11-Jan-20
Himalayan/Oriental Cuckoo,Jurong Lake Gardens,1.0,17-Nov-15
Himalayan/Oriental Cuckoo,Kranji Marshes,1.0,21-Nov-18
Horsfield's Bronze Cuckoo,Kranji Marshes,2.0,28-May-17
Horsfield's Bronze Cuckoo,Kranji Marshes,2.0,11-Aug-17
Horsfield's Bronze Cuckoo,Lorong Halus Wetlands,1.0,19-Jul-15
Horsfield's Bronze Cuckoo,Marina Bay,1.0,26-May-18
Horsfield's Bronze Cuckoo,Marina East Drive,1.0,20-Aug-23
Horsfield's Bronze Cuckoo,Punggol End,1.0,24-Jul-17
Horsfield's Bronze Cuckoo,Tampines Eco Green,1.0,27-Jun-15
Horsfield's Bronze Cuckoo,Tuas South,2.0,28-May-15
Horsfield's Bronze Cuckoo,Tuas South,2.0,16-Jul-23
Indian Pond Heron,Bishan-Ang Mo Kio Park,1.0,23-Apr-18
Indian Pond Heron,Gardens by the Bay,1.0,16-Apr-21
Indian Pond Heron,Lorong Halus Wetlands,2.0,22-Apr-22
Indian Pond Heron,Lorong Halus Wetlands,2.0,19-Apr-23
Indian Pond Heron,Marina South Area,1.0,2-May-20
Indian Pond Heron,Pasir Ris Farmway 3,1.0,8-May-16
Indian Pond Heron,Peng Siang river,1.0,29-Mar-22
Japanese Tit,Coney Island,1.0,9-Apr-20
Japanese Tit,Jurong Lake Gardens,1.0,6-Nov-22
Japanese Tit,Tuas South,1.0,15-Nov-19
Japanese/Cinereous Tit ,Kallang River,1.0,16-Feb-20
Javan Pond Heron,Bishan-Ang Mo Kio Park,2.0,8-Apr-19
Javan Pond Heron,Bishan-Ang Mo Kio Park,2.0,4-Apr-21
Javan Pond Heron,Marina Bay East,1.0,29-Mar-20
Javan Pond Heron,Pasir Ris Farmway 1,1.0,18-Mar-23
Large Woodshrike,Jelutong Tower,1.0,22-Oct-18
Lesser Frigatebird,Hampstead Park,1.0,11-Oct-23
Lesser Frigatebird,Johor Straits,1.0,26-Apr-16
Lesser Frigatebird,Marina South Pier,1.0,9-Oct-15
Lesser Frigatebird,Singapore Straits,3.0,26-Apr-15
Lesser Frigatebird,Singapore Straits,3.0,22-Sep-18
Lesser Frigatebird,Singapore Straits,3.0,4-May-19
Lesser Green Leafbird,Bukit Timah Nature Reserve,1.0,15-Oct-17
Lesser Green Leafbird,Central Catchment Nature Reserve,1.0,17-May-17
Lesser Green Leafbird,Pulau Ubin Chek Jawa,1.0,22-Apr-23
Little Grebe,Marina East Drive,1.0,12-Dec-21
Little Grebe,Pasir Ris Farmway 1,2.0,6-Jan-23
Little Grebe,Pasir Ris Farmway 1,2.0,27-Jan-23
Little Grebe,Pulau Ubin,2.0,10-Aug-19
Little Grebe,Pulau Ubin,2.0,20-Mar-20
Little Green Pigeon,Jelutong Tower,1.0,16-Mar-16
Little Green Pigeon,Windsor Nature Park,1.0,12-Oct-18
Little Stint,Pulau Ubin,2.0,21-Sep-17
Little Stint,Pulau Ubin,2.0,13-Dec-20
Long-tailed Jaeger,Singapore Straits,2.0,29-Apr-17
Long-tailed Jaeger,Singapore Straits,2.0,14-Oct-18
Long-toed Stint,Kranji Marshes,1.0,28-Jul-19
Long-toed Stint,Kranji Sanctuary Golf Course,1.0,15-Sep-18
Long-toed Stint,Lim Chu Kang Lane 3,2.0,24-Sep-18
Long-toed Stint,Lim Chu Kang Lane 3,2.0,17-Jan-19
Long-toed Stint,Neo Tiew Harvest Lane,2.0,24-Oct-20
Long-toed Stint,Neo Tiew Harvest Lane,2.0,3-Apr-21
Long-toed Stint,Pulau Tekong,3.0,21-Sep-16
Long-toed Stint,Pulau Tekong,3.0,1-Nov-17
Long-toed Stint,Pulau Tekong,3.0,4-Oct-19
Long-toed Stint,Pulau Ubin,1.0,19-Oct-20
Long-toed Stint,Sungei Buloh Wetland Reserve,2.0,30-Sep-23
Long-toed Stint,Sungei Buloh Wetland Reserve,2.0,8-Oct-18
Long-toed Stint,Tuas South,2.0,6-Oct-21
Long-toed Stint,Tuas South,2.0,13-Oct-22
Malayan Black Magpie,Hindhede Nature Park,1.0,9-Jun-21
Malayan Swamp Babbler,Chek Jawa Wetlands,1.0,9-May-23
Malayan Swamp Babbler,Pasir Ris Park,1.0,23-Jul-23
Mangrove Blue Flycatcher,Bidadari Park,1.0,2-Dec-15
Mangrove Blue Flycatcher,Pulau Ubin,1.0,27-Nov-16
Mangrove Whistler,Changi Bay,1.0,17-Sep-23
Mangrove Whistler,Labrador Nature Reserve,1.0,27-Feb-23
Mangrove Whistler,Marina East Drive,1.0,30-Jul-17
Mangrove Whistler,Pasir Ris Park,1.0,29-Jul-16
Mangrove Whistler,Pulau Hantu,3.0,22-Feb-18
Mangrove Whistler,Pulau Hantu,3.0,21-Mar-18
Mangrove Whistler,Pulau Hantu,3.0,8-Apr-18
Mangrove Whistler,Pulau Semakau,3.0,13-Aug-18
Mangrove Whistler,Pulau Semakau,3.0,22-Nov-18
Mangrove Whistler,Pulau Semakau,3.0,24-Feb-21
Mangrove Whistler,Pulau Ubin,2.0,9-Feb-18
Mangrove Whistler,Pulau Ubin,2.0,6-May-18
Masked Booby,Pan Island Expressway,1.0,30-Aug-18
Narcissus Flycatcher,Bidadari Park,1.0,2-Dec-15
Northern Boobook,Changi Beach Park,1.0,14-Apr-23
Northern Boobook,Changi Business Park,1.0,3-Nov-23
Northern Boobook,Dairy Farm Nature Park,1.0,17-Mar-20
