Species,Date ,Location
Eurasian Sparrowhawk,12-Nov-18,Telok Blangah Hill
Eurasian Wigeon ,23-Dec-18,Kranji Marshes
Glossy Ibis,9-May-22,Lorong Halus Wetlands
Great Knot,27-Jan-21,Marina East Drive
Great Knot,9-Sep-21,Pulau Tekong
Great Knot,6-Dec-17,Pulau Ubin
Great Knot,20-Jan-19,Pulau Ubin
Great Knot,1-Sep-16,Sungei Buloh Wetland Reserve
Greater Sand Plover,3-Sep-17,East Coast Park
Greater Sand Plover,31-Aug-16,Pulau Tekong
Greater Sand Plover,3-Jan-18,Pulau Tekong
Greater Sand Plover,3-Feb-20,Pulau Tekong
Greater Sand Plover,22-Sep-20,Pulau Ubin
Greater Sand Plover,19-Oct-20,Pulau Ubin
Greater Sand Plover,30-Aug-23,Seletar Dam
Greater Sand Plover,14-Jul-17,Seletar Dam (Yishun Dam)
Greater Sand Plover,7-Sep-17,Seletar Dam (Yishun Dam)
Greater Sand Plover,11-Sep-22,Sungai Buloh Wetland Reserve
Greater Sand Plover,14-Aug-22,Yishun Dam
Greater Sand Plover,4-Sep-22,Yishun Dam
Green Sandpiper,2-Nov-18,Sungei Buloh Wetland Reserve
Grey-headed Lapwing,27-Feb-23,Holland Plain
Grey-headed Lapwing,23-Oct-16,Kranji Marshes
Grey-headed Lapwing,11-Mar-23,Marina East Drive
Grey-headed Lapwing,16-Nov-19,Neo Tiew Harvest Lane
Grey-headed Lapwing,12-Dec-21,Neo Tiew Harvest Lane
Grey-headed Lapwing,16-Nov-15,Singapore Botanic Gardens
Grey-headed Swamphen,29-Aug-17,Kranji Marshes
Grey-tailed Tattler,2-Aug-21,Pulau Tekong
Grey-tailed Tattler,11-Aug-18,Pulau Tekong
Grey-tailed Tattler,14-Aug-18,Pulau Tekong
Grey-tailed Tattler,8-Dec-17,Pulau Ubin
Grey-tailed Tattler,20-Jan-19,Pulau Ubin
Grey-tailed Tattler,7-Sep-16,Seletar Dam
Grey-tailed Tattler,5-Dec-16,Sungei Buloh Wetland Reserve
Gull-billed Tern,16-May-23,Jurong Lake Gardens
Gull-billed Tern,30-Jun-19,Lorong Halus Wetlands
Gull-billed Tern,25-Sep-22,Marina Barrage
Gull-billed Tern,1-Oct-16,Pulau Tekong
Gull-billed Tern,14-Oct-18,Pulau Ubin
Gull-billed Tern,7-Sep-22,Sea between Changi and Ubin
Gull-billed Tern,10-Sep-21,Seletar Dam
Gull-billed Tern,18-Sep-19,Straits of Johor
Gull-billed Tern,5-May-18,Straits of Singapore
Gull-billed Tern,21-Sep-19,Straits of Singapore
Gull-billed Tern,8-Sep-21,Sungei Buloh Wetland Reserve
Gull-billed Tern,23-Sep-17,Tanah Merah Coast Road
Hair-crested Drongo,26-Nov-19,Changi Business Park
Himalayan Vulture,8-Feb-18,Bukit Timah Nature Reserve
Himalayan Vulture,24-Dec-23,Bukit Timah Nature Reserve
Himalayan Vulture,8-Dec-21,Dairy Farm Nature Park
Himalayan Vulture,10-Jan-20,Dairy Farm Nature Park
Himalayan Vulture,14-Jan-24,Henderson Waves
Himalayan Vulture,30-Jan-21,Marina East Drive
Himalayan Vulture,5-Jan-16,Toa Payoh
Himalayan Vulture,15-Jan-24,Ulu Pandan Park Connector
Himalayan Vulture,11-Jan-20,West Coast Park
Himalayan/Oriental Cuckoo,17-Nov-15,Jurong Lake Gardens
Himalayan/Oriental Cuckoo,21-Nov-18,Kranji Marshes
Horsfield's Bronze Cuckoo,28-May-17,Kranji Marshes
Horsfield's Bronze Cuckoo,11-Aug-17,Kranji Marshes
Horsfield's Bronze Cuckoo,19-Jul-15,Lorong Halus Wetlands
Horsfield's Bronze Cuckoo,26-May-18,Marina Bay
Horsfield's Bronze Cuckoo,20-Aug-23,Marina East Drive
Horsfield's Bronze Cuckoo,24-Jul-17,Punggol End
Horsfield's Bronze Cuckoo,27-Jun-15,Tampines Eco Green
Horsfield's Bronze Cuckoo,28-May-15,Tuas South
Horsfield's Bronze Cuckoo,16-Jul-23,Tuas South
Indian Pond Heron,23-Apr-18,Bishan-Ang Mo Kio Park
Indian Pond Heron,16-Apr-21,Gardens by the Bay
Indian Pond Heron,22-Apr-22,Lorong Halus Wetlands
Indian Pond Heron,19-Apr-23,Lorong Halus Wetlands
Indian Pond Heron,2-May-20,Marina South Area
Indian Pond Heron,8-May-16,Pasir Ris Farmway 3
Indian Pond Heron,29-Mar-22,Peng Siang river
Japanese Tit,9-Apr-20,Coney Island
Japanese Tit,6-Nov-22,Jurong Lake Gardens
Japanese Tit,15-Nov-19,Tuas South
Japanese/Cinereous Tit ,16-Feb-20,Kallang River
Javan Pond Heron,8-Apr-19,Bishan-Ang Mo Kio Park
Javan Pond Heron,4-Apr-21,Bishan-Ang Mo Kio Park
Javan Pond Heron,29-Mar-20,Marina Bay East
Javan Pond Heron,18-Mar-23,Pasir Ris Farmway 1
Large Woodshrike,22-Oct-18,Jelutong Tower
Lesser Frigatebird,11-Oct-23,Hampstead Park
Lesser Frigatebird,26-Apr-16,Johor Straits
Lesser Frigatebird,9-Oct-15,Marina South Pier
Lesser Frigatebird,26-Apr-15,Singapore Straits
Lesser Frigatebird,22-Sep-18,Singapore Straits
Lesser Frigatebird,4-May-19,Singapore Straits
Lesser Green Leafbird,15-Oct-17,Bukit Timah Nature Reserve
Lesser Green Leafbird,17-May-17,Central Catchment Nature Reserve
Lesser Green Leafbird,22-Apr-23,Pulau Ubin Chek Jawa
Little Grebe,12-Dec-21,Marina East Drive
Little Grebe,6-Jan-23,Pasir Ris Farmway 1
Little Grebe,27-Jan-23,Pasir Ris Farmway 1
Little Grebe,10-Aug-19,Pulau Ubin
Little Grebe,20-Mar-20,Pulau Ubin
Little Green Pigeon,16-Mar-16,Jelutong Tower
Little Green Pigeon,12-Oct-18,Windsor Nature Park
Little Stint,21-Sep-17,Pulau Ubin
Little Stint,13-Dec-20,Pulau Ubin
Long-tailed Jaeger,29-Apr-17,Singapore Straits
Long-tailed Jaeger,14-Oct-18,Singapore Straits
Long-toed Stint,28-Jul-19,Kranji Marshes
Long-toed Stint,15-Sep-18,Kranji Sanctuary Golf Course
Long-toed Stint,24-Sep-18,Lim Chu Kang Lane 3
Long-toed Stint,17-Jan-19,Lim Chu Kang Lane 3
Long-toed Stint,24-Oct-20,Neo Tiew Harvest Lane
Long-toed Stint,3-Apr-21,Neo Tiew Harvest Lane
Long-toed Stint,21-Sep-16,Pulau Tekong
Long-toed Stint,1-Nov-17,Pulau Tekong
Long-toed Stint,4-Oct-19,Pulau Tekong
Long-toed Stint,19-Oct-20,Pulau Ubin
Long-toed Stint,30-Sep-23,Sungei Buloh Wetland Reserve
Long-toed Stint,8-Oct-18,Sungei Buloh Wetland Reserve
Long-toed Stint,6-Oct-21,Tuas South
Long-toed Stint,13-Oct-22,Tuas South
Malayan Black Magpie,9-Jun-21,Hindhede Nature Park
Malayan Swamp Babbler,9-May-23,Chek Jawa Wetlands
Malayan Swamp Babbler,23-Jul-23,Pasir Ris Park
Mangrove Blue Flycatcher,2-Dec-15,Bidadari Park
Mangrove Blue Flycatcher,27-Nov-16,Pulau Ubin
Mangrove Whistler,17-Sep-23,Changi Bay
Mangrove Whistler,27-Feb-23,Labrador Nature Reserve
Mangrove Whistler,30-Jul-17,Marina East Drive
Mangrove Whistler,29-Jul-16,Pasir Ris Park
Mangrove Whistler,22-Feb-18,Pulau Hantu
Mangrove Whistler,21-Mar-18,Pulau Hantu
Mangrove Whistler,8-Apr-18,Pulau Hantu
Mangrove Whistler,13-Aug-18,Pulau Semakau
Mangrove Whistler,22-Nov-18,Pulau Semakau
Mangrove Whistler,24-Feb-21,Pulau Semakau
Mangrove Whistler,9-Feb-18,Pulau Ubin
Mangrove Whistler,6-May-18,Pulau Ubin
Masked Booby,30-Aug-18,Pan Island Expressway
Narcissus Flycatcher,2-Dec-15,Bidadari Park
Northern Boobook,14-Apr-23,Changi Beach Park
Northern Boobook,3-Nov-23,Changi Business Park
Northern Boobook,17-Mar-20,Dairy Farm Nature Park
Northern Boobook,25-Oct-22,Jurong West
Northern Boobook,3-Jan-24,Mount Faber Park
Northern Boobook,1-Nov-21,one-north Park: Biopolis
Northern Boobook,2-Nov-23,Penjuru Place
Northern Boobook,11-Nov-22,Punggol Way
Northern Boobook,28-Mar-23,Republic Polytechnic
Northern Boobook,8-Nov-17,Satay by the Bay
Northern Boobook,28-Mar-22,Satay By The Bay
Northern Boobook,13-Apr-22,Sungei Buloh Wetland Reserve
Northern Boobook,23-Apr-22,Tampines Eco Green
Northern Boobook,25-Apr-20,Tanjong Katong
Northern Boobook,9-Nov-15,Tuas South
Northern Boobook,17-Nov-15,Tuas South
Northern Boobook,8-Mar-16,Tuas South
Northern Boobook,21-Apr-16,Tuas South
Northern Boobook,6-Nov-18,Tuas South
Northern Boobook,5-Nov-19,Tuas South
Northern Boobook,1-Nov-20,Tuas South
Northern Pintail,3-Feb-16,Sungei Buloh Wetland Reserve
Northern Pintail,7-Mar-20,Sungei Buloh Wetland Reserve
Oriental Darter,6-Feb-16,Bukit Timah Nature Reserve
Oriental Darter,9-Nov-18,Central Catchment Nature Reserve
Oriental Darter,8-Dec-21,Jurong Lake Gardens
Oriental Darter,24-Nov-19,Kent Ridge Park
Oriental Darter,14-May-17,Pulau Ubin
Oriental Darter,4-Jun-17,Pulau Ubin
Oriental Darter,26-Dec-17,Singapore Quarry
Oriental Darter,18-Feb-18,Singapore Quarry
Oriental Darter,11-Jun-19,Sungei Buloh Wetland Reserve
Oriental Plover,28-Jan-21,Pulau Ubin
